CFN,Demand,Forecast,Lag 2 % Consumed,Lag 1 % Consumed,Lag 0 % Consumed,Backorder $ (USD),Weeks of Coverage
444SP01112,0,0,FCST NO DMD,NaN,NaN,,
444SP01116,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.677,4
444SP01514,0,17,FCST NO DMD,FCST NO DMD,FCST NO DMD,,601,8
444SP02110,0,6,FCST NO DMD,FCST NO DMD,FCST NO DMD,,6.182,6
444SP02112,0,27,FCST NO DMD,FCST NO DMD,FCST NO DMD,,3.002,2
444SP02116,0,46,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.936,5
444SP02512,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.111,6
444SP03312,0,0,NaN,NaN,NaN,,
4-AP6000-US,0,0,NaN,NaN,NaN,,342,1
4CN65ED,0,0,FCST NO DMD,NaN,NaN,,
4CN65ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,638,5
4UN65R,0,0,FCST NO DMD,NaN,NaN,,53,4
5.0PLCF,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,8,2
5.5PCF,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2,2
5.5PDL,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,7.042,7
5.5PEF,0,85,FCST NO DMD,FCST NO DMD,FCST NO DMD,,21,0
5.5PELF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.015,8
5.5PLCF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2,2
5093600,0,0,FCST NO DMD,NaN,NaN,,
5CN70ED,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,166,9
5CN70ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,435,8
5CN70R,0,33,FCST NO DMD,FCST NO DMD,FCST NO DMD,$1.330,533,2
5SCT,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,3.782,9
5UN70R,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,40.463,4
6.0PDL,0,0,NaN,NaN,NaN,,39.096,3
6.0PELF,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,0,9
6.0PLC,0,0,NaN,NaN,NaN,,
6.0PLCF,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1,6
6.5PDL,0,0,NaN,NaN,NaN,,
6.5PELF,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,565,4
6.5PLCF,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,11,1
60XLTCD,0,0,FCST NO DMD,NaN,NaN,,
6CFN,0,6,FCST NO DMD,FCST NO DMD,FCST NO DMD,,5,2
6CN75ED,0,0,FCST NO DMD,NaN,NaN,,
6CN75ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,777,6
