CFN;Descripcion_Producto;QtyDisponible;forecasttotal;demand;QtyBloqued;QtyQI;QtyRestricted;UOM;Sloc;forecast
12495;012495 OMNIVENTLINE SET X25;375;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;2400;;;0;0;0;EA;4000;
12528;012528 SMART CAPNOLINE GUARDIAN;13;;;0;0;0;EA;4017;
12528;012528 SMART CAPNOLINE GUARDIAN;125;;;0;0;0;EA;4000;
12528;012528 SMART CAPNOLINE GUARDIAN;300;;;0;0;0;EA;4000;
12528;012528 SMART CAPNOLINE GUARDIAN;650;;;0;0;0;EA;4000;
12528;012528 SMART CAPNOLINE GUARDIAN;725;;;0;0;0;EA;4000;
12528;012528 SMART CAPNOLINE GUARDIAN;0;;;25;0;0;EA;1202;
12529;012529 SMART CAPNOLINE GUARDIAN O2;50;;;0;0;0;EA;4000;
12529;012529 SMART CAPNOLINE GUARDIAN O2;25;;;0;0;0;EA;4000;
12530;012530 LNG SMART CAPNOLINE GUARDIANO2;25;;;0;0;0;EA;4000;
12530;012530 LNG SMART CAPNOLINE GUARDIANO2;25;;;0;0;0;EA;4000;
12530;012530 LNG SMART CAPNOLINE GUARDIANO2;50;;;0;0;0;EA;4000;
12530;012530 LNG SMART CAPNOLINE GUARDIANO2;500;;;0;0;0;EA;4000;
12531;012531 SMART OMNILINE GUARDIAN O2;1075;;;0;0;0;EA;4000;
12531;012531 SMART OMNILINE GUARDIAN O2;825;;;0;0;0;EA;4000;
12531;012531 SMART OMNILINE GUARDIAN O2;25;;;0;0;0;EA;4016;
12531;012531 SMART OMNILINE GUARDIAN O2;375;;;0;0;0;EA;4000;
12532;012532 LNG SMART OMNILINE GUARDIAN O2;20;;;0;0;0;EA;40A0;
12532;012532 LNG SMART OMNILINE GUARDIAN O2;200;;;0;0;0;EA;4000;
1800;HANDPIECE 01800 ES06 FOOTSW 3M 4MM-PIN;7;;;0;0;0;EA;4000;
20242;020242 DISP PURSE STRING 65 X3;3;;;0;0;0;EA;40A0;
20242;020242 DISP PURSE STRING 65 X3;1;;;0;0;0;EA;40A0;
20242;020242 DISP PURSE STRING 65 X3;3;;;0;0;0;EA;4000;
2049;ELECTR 02049 E122 120MM KNIFE TIP;4;;;0;0;0;EA;4000;
2050;ELECTR 02050 E124 150MM KNIFE TIP;4;;;0;0;0;EA;4000;
3027;PATIENT PLATE 03027 PP04 S.STELL 18X30CM;13;;;0;0;0;EA;4000;
3027;PATIENT PLATE 03027 PP04 S.STELL 18X30CM;30;;;0;0;0;EA;4000;
3027;PATIENT PLATE 03027 PP04 S.STELL 18X30CM;6;;;0;0;0;EA;4000;
3029;PATIENT CAB 03029 PC07 GR-PADS 3M WEM-PG;1;;;0;0;0;EA;4000;
30412;030412 ENDO GIA UNI 60 2.5 DLU;5;;;0;0;0;EA;40A0;
30412;030412 ENDO GIA UNI 60 2.5 DLU;120;;;0;0;0;EA;4000;
30412;030412 ENDO GIA UNI 60 2.5 DLU;132;;;0;0;0;EA;4000;
30412;030412 ENDO GIA UNI 60 2.5 DLU;1;;;0;0;0;EA;40A0;
30412;030412 ENDO GIA UNI 60 2.5 DLU;3;;;0;0;0;EA;40A0;
30414;030414 ENDO GIA UNI 60 3.5 DLU;1335;;;0;0;0;EA;4020;
30414;030414 ENDO GIA UNI 60 3.5 DLU;30;;;0;0;0;EA;40A0;
30414;030414 ENDO GIA UNI 60 3.5 DLU;1818;;;0;0;0;EA;4020;
30414;030414 ENDO GIA UNI 60 3.5 DLU;6;;;0;0;0;EA;4200;
30414;030414 ENDO GIA UNI 60 3.5 DLU;0;;;6;0;0;EA;1201;
30415;030415 ENDO GIAII 60-4.8 DLU;6;;;0;0;0;EA;4000;
30415;030415 ENDO GIAII 60-4.8 DLU;0;;;6;0;0;EA;1201;
30418;030418 ENDO GIAII 30 2.5MM DLU;3;;;998;0;0;521;EA;
30419;030419 ENDO GIAII 30 3.5MM DLU X6;2;;;0;0;0;EA;40A0;
30422;030422 ENDO GIAII 45 3.5MM DLU;1;;;0;0;0;EA;40A0;
30422;030422 ENDO GIAII 45 3.5MM DLU;24;;;0;0;0;EA;4000;
30422;030422 ENDO GIAII 45 3.5MM DLU;35;;;0;0;0;EA;40A0;
30422;030422 ENDO GIAII 45 3.5MM DLU;84;;;0;0;0;EA;4000;
30422;030422 ENDO GIAII 45 3.5MM DLU;3;;;0;0;0;EA;40A0;
30422;030422 ENDO GIAII 45 3.5MM DLU;6;;;0;0;0;EA;4000;
30422;030422 ENDO GIAII 45 3.5MM DLU;6;;;0;0;0;EA;4200;
30423;030423 ENDO GIAII 45 4.8 DLU;2;;;0;0;0;EA;40A0;
30423;030423 ENDO GIAII 45 4.8 DLU;6;;;0;0;0;EA;4200;
30425;030425 ENDO GIAII 45 2.5MM DLU X6;0;;;1;0;0;EA;1201;
30451;030451 ROTICULTR ENDO GIA 30-2.5 DLU;0;;;5;0;0;EA;1201;
30451;030451 ROTICULTR ENDO GIA 30-2.5 DLU;24;;;0;0;0;EA;4000;
30451;030451 ROTICULTR ENDO GIA 30-2.5 DLU;54;;;0;0;0;EA;4000;
30454;030454 ENDO GIA R/OR 45 2.5MM      X6;4;;;0;0;0;EA;1400;
30455;030455 ENDO GIA UNI ROT 45 3.5 DLU;0;;;2;0;0;EA;1201;
30455;030455 ENDO GIA UNI ROT 45 3.5 DLU;1;;;0;0;0;EA;1208;
30455;030455 ENDO GIA UNI ROT 45 3.5 DLU;6;;;0;0;0;EA;4202;
30455;030455 ENDO GIA UNI ROT 45 3.5 DLU;0;;;12;0;0;EA;1204;
30455;030455 ENDO GIA UNI ROT 45 3.5 DLU;24;;;0;0;0;EA;4000;
30455;030455 ENDO GIA UNI ROT 45 3.5 DLU;30;;;0;0;0;EA;4000;
30456;030456 ENDO GIA R/OR 45 4.8MM;0;;;12;0;0;EA;1201;
30457;030457 ENDO GIA R/OR 60 2.5MM;2;;;0;0;0;EA;4019;
30457;030457 ENDO GIA R/OR 60 2.5MM;54;;;0;0;0;EA;4000;
30457;030457 ENDO GIA R/OR 60 2.5MM;0;;;180;0;0;EA;1204;
30457;030457 ENDO GIA R/OR 60 2.5MM;360;;;0;0;0;EA;4000;
30458;030458 ENDO GIA R/OR 60 3.5MM;1;;;0;0;0;EA;1208;
30458;030458 ENDO GIA R/OR 60 3.5MM;0;;;6;0;0;EA;1250;
30458;030458 ENDO GIA R/OR 60 3.5MM;1;;;0;0;0;EA;1208;
30458;030458 ENDO GIA R/OR 60 3.5MM;408;;;0;0;0;EA;4000;
30458;030458 ENDO GIA R/OR 60 3.5MM;0;;;54;0;0;EA;1204;
30458;030458 ENDO GIA R/OR 60 3.5MM;49;;;0;0;0;EA;40A0;
30458;030458 ENDO GIA R/OR 60 3.5MM;366;;;0;0;0;EA;4000;
30458;030458 ENDO GIA R/OR 60 3.5MM;12;;;0;0;0;EA;4000;
30458;030458 ENDO GIA R/OR 60 3.5MM;8;;;0;0;0;EA;4019;
30459;030459 ENDO GIA R/OR 60 4.8MM;2;;;0;0;0;EA;4017;
30459;030459 ENDO GIA R/OR 60 4.8MM;3;;;0;0;0;EA;40A0;
30459;030459 ENDO GIA R/OR 60 4.8MM;4;;;0;0;0;EA;4020;
30459;030459 ENDO GIA R/OR 60 4.8MM;10;;;0;0;0;EA;1208;
